Date;AGG;DBC;EWJ;EWW;ILF;MTUM;SPY;VO;RENTA FIJA PLUS;COLCAP
1/12/2018;1.80%;-5.10%;-8.50%;2.36%;-3.85%;-7.92%;-9.52%;-10.56%;0.4%;-3.9%
1/11/2018;1.27%;-9.37%;1.90%;-3.25%;-1.41%;2.40%;2.83%;3.31%;0.3%;-0.9%
1/10/2018;6.26%;1.36%;-2.23%;-12.53%;11.85%;-3.23%;-0.01%;-1.58%;0.5%;-7.9%
1/09/2018;-2.30%;1.88%;1.93%;0.29%;2.47%;-0.77%;-1.32%;-2.35%;0.5%;-2.4%
1/08/2018;5.65%;6.07%;4.79%;2.12%;-3.37%;11.02%;8.46%;7.78%;0.4%;1.1%
1/07/2018;-2.81%;-5.02%;-1.50%;7.21%;8.10%;-0.82%;1.07%;-0.06%;0.3%;-3.2%
1/06/2018;2.19%;0.36%;-0.79%;7.68%;-3.59%;1.94%;2.44%;2.91%;0.4%;1.9%
1/05/2018;3.07%;5.28%;1.15%;-11.76%;-12.96%;6.03%;5.04%;4.44%;0.5%;-1.2%
1/04/2018;-0.85%;3.68%;0.26%;0.48%;-2.05%;0.82%;0.84%;0.13%;0.5%;7.3%
1/03/2018;-2.10%;-0.28%;-3.19%;0.63%;-2.76%;-6.31%;-5.72%;-2.99%;0.4%;-1.6%
1/02/2018;0.06%;-1.67%;-1.72%;-4.91%;-1.99%;-0.17%;-2.40%;-2.80%;0.4%;-5.3%
1/01/2018;-7.51%;-3.47%;-1.48%;1.09%;6.61%;1.52%;-0.90%;-2.21%;0.5%;2.9%
1/12/2017;2.36%;4.88%;2.16%;0.32%;6.90%;1.96%;2.83%;2.75%;0.5%;4.6%
1/11/2017;-3.34%;-2.05%;-0.86%;-3.26%;-7.07%;-0.23%;0.03%;0.12%;0.5%;1.4%
1/10/2017;0.21%;4.21%;5.46%;-7.84%;-3.01%;5.24%;2.65%;1.76%;0.5%;-4.3%
1/09/2017;1.95%;4.70%;4.54%;-0.62%;4.34%;5.22%;4.23%;4.65%;0.6%;0.4%
1/08/2017;-0.44%;-0.77%;-1.26%;-0.86%;3.43%;0.29%;-0.87%;-1.77%;0.4%;0.1%
1/07/2017;-1.83%;2.04%;0.09%;2.32%;6.58%;1.46%;0.08%;-0.17%;0.5%;1.3%
1/06/2017;4.01%;3.28%;4.91%;8.64%;4.14%;4.32%;4.39%;4.50%;0.7%;1.6%
1/05/2017;-0.36%;-2.25%;1.90%;-1.10%;-4.29%;3.83%;0.58%;0.08%;0.9%;4.8%
