Date;Mkt-RF;SMB;HML;RF
31/1/2019;0.034;0.0205;-0.0267;0.0018
28/2/2019;0.011;-0.0305;-0.0417;0.0019
29/3/2019;0.0397;-0.0174;0.0215;0.0021
30/4/2019;-0.0694;-0.0132;-0.0237;0.0021
31/5/2019;0.0693;0.0029;-0.0071;0.0018
28/6/2019;0.0119;-0.0193;0.0048;0.0019
31/7/2019;-0.0258;-0.0238;-0.0478;0.0016
30/8/2019;0.0143;-0.0096;0.0675;0.0018
30/9/2019;0.0206;0.0029;-0.0191;0.0016
31/10/2019;0.0387;0.0077;-0.0202;0.0012
29/11/2019;0.0277;0.0073;0.0175;0.0014
31/12/2019;-0.0011;-0.0311;-0.0625;0.0013
31/1/2020;-0.0813;0.0107;-0.0381;0.0012
28/2/2020;-0.1339;-0.0483;-0.1387;0.0013
31/3/2020;0.1365;0.0245;-0.0133;0
30/4/2020;0.0558;0.0247;-0.0488;0.0001
29/5/2020;0.0246;0.0269;-0.022;0.0001
30/6/2020;0.0577;-0.0233;-0.0141;0.0001
31/7/2020;0.0763;-0.0022;-0.0297;0.0001
31/8/2020;-0.0363;0.0002;-0.0271;0.0001
30/9/2020;-0.021;0.0438;0.0425;0.0001
30/10/2020;0.1247;0.058;0.0209;0.0001
30/11/2020;0.0463;0.0489;-0.0151;0.0001
31/12/2020;-0.0003;0.0736;0.0301;0.0001
29/1/2021;0.0278;0.0205;0.0715;0
26/2/2021;0.0308;-0.0237;0.0739;0
31/3/2021;0.0493;-0.0319;-0.0095;0
30/4/2021;0.0029;-0.0025;0.0709;0
31/5/2021;0.0275;0.0168;-0.0787;0
30/6/2021;0.0127;-0.0397;-0.0178;0
30/7/2021;0.0291;-0.0042;-0.0015;0
31/8/2021;-0.0437;0.0071;0.0508;0
30/9/2021;0.0665;-0.0235;-0.0049;0
29/10/2021;-0.0155;-0.0132;-0.0045;0
30/11/2021;0.031;-0.0167;0.0326;0.0001
31/12/2021;-0.0625;-0.0594;0.1275;0
31/1/2022;-0.0229;0.0219;0.0308;0
28/2/2022;0.0305;-0.0161;-0.0181;0.0001
31/3/2022;-0.0946;-0.0139;0.0617;0.0001
29/4/2022;-0.0034;-0.0183;0.0839;0.0003
31/5/2022;-0.0843;0.021;-0.0597;0.0006
30/6/2022;0.0957;0.0281;-0.0405;0.0008
29/7/2022;-0.0377;0.014;0.0029;0.0019
31/8/2022;-0.0935;-0.0081;0.0005;0.0019
30/9/2022;0.0783;0.0006;0.0801;0.0023
31/10/2022;0.046;-0.0352;0.0138;0.0029
30/11/2022;-0.0641;-0.0069;0.0137;0.0033
30/12/2022;0.0665;0.0501;-0.0401;0.0035
31/1/2023;-0.0258;0.0117;-0.0081;0.0034
28/2/2023;0.0251;-0.0551;-0.0885;0.0036
31/3/2023;0.0061;-0.0335;-0.0004;0.0035
28/4/2023;0.0035;0.0161;-0.0772;0.0036
31/5/2023;0.0646;0.0154;-0.0026;0.004
30/6/2023;0.0321;0.0208;0.0411;0.0045
31/7/2023;-0.0239;-0.0316;-0.0106;0.0045
31/8/2023;-0.0524;-0.0251;0.0152;0.0043
29/9/2023;-0.0319;-0.0388;0.0018;0.0047
31/10/2023;0.0884;-0.0002;0.0164;0.0044
30/11/2023;0.0487;0.0634;0.0493;0.0043
29/12/2023;0.0071;-0.0509;-0.0238;0.0047
