Date,Open,High,Low,Close,Adj Close,Volume
2019-02-25,40.639999,41.320000,38.277500,39.112499,38.808689,232687200
2019-03-04,39.500000,39.730000,36.200001,37.660000,37.405983,204896000
2019-03-11,37.897499,42.882500,37.422501,42.452499,42.166168,338907200
2019-03-18,42.770000,46.250000,41.965000,44.375000,44.075684,363306800
2019-03-25,43.965000,45.437500,42.777500,44.889999,44.587227,264025200
2019-04-01,45.814999,47.912498,45.092499,47.737499,47.415508,264736800
2019-04-08,47.430000,48.367500,46.889999,47.502499,47.182098,215524400
2019-04-15,47.424999,47.615002,45.775002,46.575001,46.260849,156704800
2019-04-22,46.337502,48.202499,43.325001,44.522499,44.222206,231328000
2019-04-29,44.602501,46.217499,43.875000,45.752499,45.443897,184062800
2019-05-06,43.875000,45.084999,41.000000,42.205002,41.920338,262631200
2019-05-13,40.875000,41.107498,38.735001,39.132500,38.868557,348726800
2019-05-20,38.137501,38.924999,36.220001,36.287498,36.042740,220920800
2019-05-27,36.465000,36.794998,33.847500,33.865002,33.636589,177217600
2019-06-03,33.977501,36.720001,33.150002,36.375000,36.170895,238909200
2019-06-10,36.939999,38.090000,35.709999,36.160000,35.957100,184805200
2019-06-17,36.142502,39.332500,35.912498,37.939999,37.727116,197420000
2019-06-24,38.154999,41.342499,37.680000,41.057499,40.827122,202199600
2019-07-01,43.142502,43.487499,39.419998,40.057499,39.832729,175317200
2019-07-08,39.457500,42.617500,38.750000,41.902500,41.667381,231367600
2019-07-15,42.115002,43.177502,41.209999,42.110001,41.873718,176657600
2019-07-22,42.325001,44.722500,42.250000,43.767502,43.521915,177721200
2019-07-29,43.695000,43.985001,39.820000,40.297501,40.071388,165490800
2019-08-05,38.450001,39.577499,37.224998,38.544998,38.328720,197410400
2019-08-12,38.020000,40.384998,36.847500,39.889999,39.666164,253619600
2019-08-19,41.029999,43.362499,40.410000,40.610001,40.382137,257708800
2019-08-26,41.402500,42.715000,39.750000,41.877499,41.642525,151338000
2019-09-02,41.145000,45.272499,40.812500,44.662498,44.455849,159652000
2019-09-09,44.974998,47.099998,44.697498,45.485001,45.274551,178428000
2019-09-16,44.730000,45.400002,43.070000,43.172501,42.972752,130875200
2019-09-23,43.174999,44.755001,42.330002,42.939999,42.741322,147203200
2019-09-30,43.200001,45.787498,42.532501,45.492500,45.282013,156167600
2019-10-07,46.145000,47.334999,44.125000,46.497501,46.282360,197336000
2019-10-14,46.410000,49.822498,46.097500,47.622501,47.402153,186398400
2019-10-21,48.240002,51.345001,47.757500,51.134998,50.898399,152561600
2019-10-28,51.575001,52.224998,49.452499,50.647499,50.413162,124136000
2019-11-04,51.462502,52.924999,51.027500,51.945000,51.704655,141603600
2019-11-11,51.937500,52.965000,50.160000,51.047501,50.811314,239883600
2019-11-18,50.972500,53.637501,50.942501,52.722500,52.478561,197422800
2019-11-25,54.009998,55.352501,53.880001,54.185001,53.934292,124906000
2019-12-02,54.115002,54.250000,50.092499,53.042500,52.836044,152781200
2019-12-09,52.812500,57.244999,52.724998,55.997501,55.779530,156111600
2019-12-16,56.474998,60.097500,56.192501,59.842499,59.609558,203412400
2019-12-23,60.130001,60.452499,58.952499,59.217499,58.987003,93142000
2019-12-30,58.997501,59.977501,57.532501,59.017502,58.787777,93198000
2020-01-06,58.080002,62.137501,57.817501,61.080002,60.842258,142600800
2020-01-13,61.915001,63.247501,61.132500,62.320000,62.077427,148001600
2020-01-20,61.952499,64.875000,61.642502,62.619999,62.376251,107518400
2020-01-27,59.560001,62.317501,58.057499,59.107498,58.877426,170128400
2020-02-03,58.924999,63.562500,58.862499,62.897499,62.652668,114336400
2020-02-10,63.125000,73.742500,63.075001,72.447502,72.165497,311274800
2020-02-17,71.410004,79.080002,71.214996,73.517502,73.231331,289272800
2020-02-24,67.547501,70.467499,60.447498,67.517502,67.254700,469981200
2020-03-02,69.224998,71.222504,64.500000,66.510002,66.290733,319668400
2020-03-09,59.974998,65.269997,53.950001,60.209999,60.011505,314614800
2020-03-16,53.102501,57.580002,45.169998,51.437500,51.267929,400502000
2020-03-23,51.427502,65.779999,49.630001,63.182499,62.974205,387388800
2020-03-30,63.840000,68.849998,59.597500,60.977501,60.776482,354810000
2020-04-06,63.810001,69.562500,63.232498,65.737503,65.520790,258041200
2020-04-13,65.137497,74.750000,64.250000,73.080002,72.839073,258024400
2020-04-20,71.809998,73.375000,66.777496,72.397499,72.158821,244439200
2020-04-27,73.747498,76.050003,70.209999,70.695000,70.461945,201946400
2020-05-04,70.220001,78.187500,70.220001,78.125000,77.867455,172286400
2020-05-11,78.074997,85.004997,75.947502,84.907501,84.627594,317794400
2020-05-18,87.605003,90.930000,86.805000,90.262497,89.964935,387914800
2020-05-25,91.567497,91.817497,79.967499,88.754997,88.462402,342682400
2020-06-01,88.332497,89.970001,86.580002,89.199997,88.905937,205266400
2020-06-08,88.772499,95.000000,86.857498,89.324997,89.071152,264296400
2020-06-15,88.152496,94.449997,87.437500,92.612503,92.349312,212259200
2020-06-22,93.000000,96.425003,91.250000,91.550003,91.289848,219110400
2020-06-29,91.697502,97.375000,89.000000,96.122498,95.849335,140084400
2020-07-06,97.417503,106.552498,97.125000,104.792503,104.494705,203139600
2020-07-13,105.949997,107.922501,97.855003,102.014999,101.725105,201498400
2020-07-20,102.742500,106.025002,97.769997,101.945000,101.655304,181413200
2020-07-27,102.322502,107.665001,102.092499,106.147499,105.845856,154323600
2020-08-03,107.324997,115.047501,107.152496,111.995003,111.676720,155981200
2020-08-10,113.342499,117.217499,107.957497,115.639999,115.311371,198761600
2020-08-17,118.512497,128.087494,118.172501,126.834999,126.474571,366862800
2020-08-24,128.837494,131.479996,125.074997,131.477493,131.103882,195564800
2020-08-31,131.827499,147.267502,117.047501,126.224998,125.866302,429498000
2020-09-07,117.345001,130.652496,117.042503,121.644997,121.335609,286754000
2020-09-14,130.809998,133.149994,119.887497,121.892502,121.582474,397665600
2020-09-21,119.250000,128.835007,119.044998,128.737503,128.410065,333376400
2020-09-28,130.402496,137.627502,127.500000,130.622498,130.290283,296195200
2020-10-05,132.360001,141.419998,132.227493,137.627502,137.277466,240811600
2020-10-12,139.895004,143.485001,137.677505,138.115005,137.763733,156506400
2020-10-19,139.029999,139.835007,132.317505,135.902496,135.556839,127084000
2020-10-26,134.270004,136.927505,123.000000,125.339996,125.021194,170083600
2020-11-02,126.577499,145.887497,123.949997,145.619995,145.249619,168515600
2020-11-09,145.524994,146.914993,126.282501,132.970001,132.631775,234391200
2020-11-16,131.725006,136.494995,130.649994,130.877502,130.544647,214375200
2020-11-23,131.712494,134.074997,128.850006,132.612503,132.275208,113504800
2020-11-30,132.649994,136.735001,129.722504,135.582504,135.237656,126902400
2020-12-07,136.012497,137.312500,128.229996,130.132507,129.839874,131349200
2020-12-14,130.880005,134.639999,130.705002,132.720001,132.421555,125973600
2020-12-21,130.747498,133.699997,129.387497,129.937500,129.645309,76494000
2020-12-28,130.625000,132.137497,127.632500,130.550003,130.256424,80075600
2021-01-04,131.042496,136.524994,125.860001,132.767502,132.468918,221783200
2021-01-11,134.187500,139.610001,128.485001,128.595001,128.305801,158074800
2021-01-18,130.162506,139.992493,128.440002,137.125000,136.816650,106936000
2021-01-25,137.817505,138.285004,127.937500,129.897507,129.605392,128623200
2021-02-01,130.532501,139.317505,129.027496,135.910004,135.604385,105354400
2021-02-08,137.272507,152.912506,137.272507,149.612503,149.276062,203312000
2021-02-15,150.642502,153.725006,145.750000,149.264999,148.929306,110230800
2021-02-22,147.747498,151.332504,132.162506,137.145004,136.836594,249135200
2021-03-01,138.750000,139.250000,116.792503,124.614998,124.334770,211107600
2021-03-08,124.500000,130.462494,115.665001,128.559998,128.270889,199319200
2021-03-15,128.647507,135.125000,126.125000,128.457504,128.212875,133108400
2021-03-22,129.127502,133.945007,122.720001,128.392502,128.148041,142480400
2021-03-29,128.202499,138.699997,127.000000,138.117493,137.854477,109677600
2021-04-05,138.675003,144.714996,137.115005,144.000000,143.725769,113828800
2021-04-12,142.897507,162.142502,141.392502,159.125000,158.821976,286472400
2021-04-19,155.365005,158.074997,147.835007,152.652496,152.361801,146061600
2021-04-26,151.850006,156.705002,149.970001,150.095001,149.809174,94689200
2021-05-03,151.250000,152.467499,140.102493,148.122498,147.840424,132396800
2021-05-10,147.872498,148.059998,134.589996,142.429993,142.158737,140191600
2021-05-17,141.570007,152.220001,135.432495,149.917496,149.632019,174182000
2021-05-24,152.125000,162.774994,151.759995,162.445007,162.135666,258667600
2021-05-31,162.699997,176.610001,159.032501,175.782501,175.447739,226410000
2021-06-07,175.712494,179.392502,171.759995,178.252502,177.913040,198534000
2021-06-14,179.059998,193.750000,175.845001,186.387497,186.075180,265004400
2021-06-21,184.352493,194.199997,178.227493,190.309998,189.991135,218417200
2021-06-28,193.612503,205.052505,193.190002,204.869995,204.526718,201253600
2021-07-05,207.375000,208.750000,197.007507,200.502502,200.166534,166506000
2021-07-12,202.399994,205.327499,180.729996,181.610001,181.305695,223158000
2021-07-19,179.152496,198.869995,178.654999,195.580002,195.252274,207426200
2021-07-26,193.110001,198.529999,187.410004,194.990005,194.663284,102927500
2021-08-02,197.000000,207.330002,192.199997,203.660004,203.318741,114049600
2021-08-09,204.460007,205.080002,194.300003,201.880005,201.541733,84632100
2021-08-16,201.350006,208.649994,187.619995,208.160004,207.811203,214367000
2021-08-23,209.710007,227.220001,209.500000,226.360001,225.980698,176346900
2021-08-30,228.300003,230.429993,221.199997,228.429993,228.047241,119256300
2021-09-06,228.330002,228.990005,219.770004,224.779999,224.442917,89777300
2021-09-13,226.839996,229.639999,218.300003,219.000000,218.671585,111432900
2021-09-20,211.460007,225.350006,206.619995,220.809998,220.478882,128906400
2021-09-27,217.100006,217.990005,202.029999,207.419998,207.108948,126866500
2021-10-04,205.039993,213.220001,195.550003,208.309998,207.997635,133029600
2021-10-11,205.750000,219.309998,205.110001,218.619995,218.292175,97675700
2021-10-18,217.490005,231.300003,216.440002,227.259995,226.919205,93421700
2021-10-25,229.729996,257.089996,227.699997,255.669998,255.286606,148883000
2021-11-01,256.489990,314.000000,252.270004,297.519989,297.073822,280465300
2021-11-08,301.489990,323.100006,287.779999,303.899994,303.444244,253127900
2021-11-15,305.519989,330.880005,288.000000,329.850006,329.355438,239347900
2021-11-22,335.170013,346.470001,308.799988,315.029999,314.557556,200472900
2021-11-29,323.660004,334.119995,301.299988,306.929993,306.469727,257861300
2021-12-06,298.799988,324.489990,280.380005,301.980011,301.564117,270487400
2021-12-13,302.489990,311.600006,272.500000,278.010010,277.627136,338480000
2021-12-20,273.049988,300.589996,271.450012,296.399994,295.991760,172443800
2021-12-27,296.600006,313.299988,293.309998,294.109985,293.704926,174281000
2022-01-03,298.149994,307.109985,270.570007,272.470001,272.094727,228089000
2022-01-10,265.809998,285.950012,256.440002,269.420013,269.048981,231818600
2022-01-17,262.600006,266.380005,232.630005,233.740005,233.418076,206672400
2022-01-24,223.300003,240.570007,208.880005,228.399994,228.085388,345168400
2022-01-31,231.820007,258.170013,230.520004,243.190002,242.855042,239203100
2022-02-07,243.720001,269.250000,237.729996,239.490005,239.160156,243018100
2022-02-14,239.339996,265.820007,231.000000,236.419998,236.094360,344481900
2022-02-21,230.350006,242.169998,208.899994,241.570007,241.237289,246460000
2022-02-28,239.919998,246.649994,224.820007,229.360001,229.044098,207552700
2022-03-07,228.169998,232.199997,206.500000,221.000000,220.733231,229630500
2022-03-14,218.690002,265.690002,211.589996,264.529999,264.210693,275143200
2022-03-21,265.070007,283.579987,255.750000,276.920013,276.585693,309724900
2022-03-28,277.559998,289.459991,262.670013,267.119995,266.797546,241864000
2022-04-04,267.279999,275.579987,230.619995,231.190002,230.910934,262034100
2022-04-11,222.139999,227.770004,211.630005,212.580002,212.323380,232350500
2022-04-18,212.000000,226.699997,195.000000,195.149994,194.914429,278837800
2022-04-25,192.020004,201.279999,182.899994,185.470001,185.246109,286493100
2022-05-02,185.410004,204.000000,179.899994,186.750000,186.524567,295628300
2022-05-09,180.339996,182.550003,155.669998,177.059998,176.846268,345526100
2022-05-16,175.089996,183.710007,157.550003,166.940002,166.738464,301285200
2022-05-23,162.740005,188.809998,157.800003,188.110001,187.882919,374452500
2022-05-30,189.800003,196.190002,181.220001,187.199997,186.974014,245604900
2022-06-06,191.389999,193.369995,168.690002,169.740005,169.535095,203539400
2022-06-13,160.000000,168.679993,153.279999,158.800003,158.641830,281385200
2022-06-20,164.750000,171.399994,158.529999,171.259995,171.089432,185605700
2022-06-27,173.119995,173.300003,143.919998,145.229996,145.085327,263514900
2022-07-04,141.750000,160.369995,140.550003,158.380005,158.222244,214133800
2022-07-11,155.259995,157.820007,144.649994,157.619995,157.463013,225989200
2022-07-18,163.020004,181.440002,160.020004,173.190002,173.017517,322714100
2022-07-25,170.190002,182.440002,164.779999,181.630005,181.449081,235849500
2022-08-01,181.820007,192.740005,179.899994,189.889999,189.700851,217986200
2022-08-08,175.020004,187.179993,167.240005,187.089996,186.903656,323496500
2022-08-15,187.009995,191.639999,177.699997,178.490005,178.312210,221274000
2022-08-22,174.899994,179.470001,162.369995,162.600006,162.438065,284205800
2022-08-29,160.199997,163.380005,132.699997,136.470001,136.334076,352204500
2022-09-05,137.309998,144.740005,133.460007,143.869995,143.726700,215989300
2022-09-12,143.690002,145.470001,126.169998,131.979996,131.887726,298199800
