Fecha;Risk_Free;;;
6/12/2023;10.3094;;;
5/12/2023;10.3225;;;
4/12/2023;10.3454;;;
1/12/2023;10.2935;;;
30/11/2023;10.3858;;;
29/11/2023;10.2556;;;
28/11/2023;10.3007;;;
27/11/2023;10.3614;;;
24/11/2023;10.4296;;;
23/11/2023;10.3292;;;
22/11/2023;10.2838;;;
21/11/2023;10.2305;;;
20/11/2023;10.2783;;;
17/11/2023;10.332;;;
16/11/2023;10.2346;;;
15/11/2023;10.2142;;;
14/11/2023;10.3089;;;
13/11/2023;10.6221;;;
10/11/2023;10.6218;;;
9/11/2023;10.5044;;;
8/11/2023;10.4184;;;
7/11/2023;10.5509;;;
6/11/2023;10.6133;;;
3/11/2023;10.613;;;
2/11/2023;10.7117;;;
1/11/2023;11.0395;;;
31/10/2023;11.217;;;
30/10/2023;11.3541;;;
27/10/2023;11.384;;;
26/10/2023;11.3873;;;
25/10/2023;11.4621;;;
24/10/2023;11.3986;;;
23/10/2023;11.3506;;;
20/10/2023;11.289;;;
19/10/2023;11.2656;;;
18/10/2023;11.2637;;;
17/10/2023;11.1585;;;
16/10/2023;11.1007;;;
13/10/2023;11.0991;;;
12/10/2023;11.1237;;;
11/10/2023;11.1098;;;
10/10/2023;11.5244;;;
9/10/2023;11.7207;;;
6/10/2023;11.7378;;;
5/10/2023;11.5871;;;
4/10/2023;11.439;;;
3/10/2023;11.6341;;;
2/10/2023;11.3452;;;
29/09/2023;11.2109;;;
28/09/2023;11.4906;;;
27/09/2023;11.6726;;;
26/09/2023;11.3653;;;
25/09/2023;11.0951;;;
22/09/2023;10.9234;;;
21/09/2023;10.8605;;;
20/09/2023;10.5387;;;
19/09/2023;10.6176;;;
18/09/2023;10.4656;;;
15/09/2023;10.4317;;;
14/09/2023;10.43;;;
13/09/2023;10.3813;;;
12/09/2023;10.5092;;;
11/09/2023;10.4811;;;
8/09/2023;10.408;;;
7/09/2023;10.4356;;;
6/09/2023;10.5557;;;
5/09/2023;10.4736;;;
4/09/2023;10.3563;;;
1/09/2023;10.2611;;;
31/08/2023;10.2221;;;
